VIRGINIA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
51,45957,153,01
51,46328,153,01
51,46328,153,10
51,46760,059,11
51,47064,059,08
51,47064,059,11
51,47136,107,10
51,47144,109,07
51,47208,107,10
51,47224,125,05
51,47296,107,10
51,47352,005,09
51,47496,111,05
51,47528,139,06
51,47672,680,06
51,47720,015,06
51,48344,053,04
51,48376,059,08
51,48376,059,10
51,48376,059,11
51,48445,173,09
51,48450,059,11
51,48488,113,05
51,48520,009,06
51,48776,001,02
51,48952,683,10
51,48968,685,10
51,48996,041,07
51,49144,059,11
51,49320,001,02
51,49336,001,02
51,49464,173,09
51,49656,061,05
51,49784,690,09
51,49792,153,11
51,49998,059,08
51,50020,165,06
51,50030,165,06
51,50104,115,01
51,50136,041,04
51,50200,171,06
51,50312,197,09
51,50568,041,07
51,50776,191,09
51,50856,085,01
51,50984,001,02
51,51192,059,11
51,51208,121,09
51,51362,001,02
51,51432,015,06
51,51448,107,10
51,51512,069,10
51,51544,061,01
51,51544,061,05
51,52120,109,07
51,52408,001,02
51,52658,153,01
51,52680,091,06
51,52904,087,04
51,52952,193,01
51,52968,019,06
51,53031,107,10
51,53480,143,05
51,53584,083,05
51,53864,165,06
51,53944,143,05
51,53992,171,06
51,54120,015,06
51,54144,059,08
51,54904,071,09
51,54984,131,02
51,55000,083,05
51,55272,153,11
51,55400,125,05
51,55448,001,02
51,55528,061,05
51,55592,045,09
51,55608,001,02
51,55720,015,06
51,55752,059,08
51,55758,059,08
51,55758,059,11
51,55800,127,01
51,55848,171,06
51,56000,700,03
51,56048,155,09
51,56096,175,04
51,56304,169,09
51,56464,153,01
51,57000,710,02
51,57000,710,03
51,57531,067,05
51,57560,059,11
51,57688,720,09
51,57870,135,07
51,58104,107,10
51,58184,001,02
51,58312,089,09
51,58472,059,10
51,58472,059,11
51,58696,059,11
51,58696,153,11
51,59336,001,02
51,59384,001,02
51,59416,061,01
51,59416,061,05
51,59496,137,07
51,60296,001,02
51,60392,065,05
51,60488,011,05
51,60488,147,05
51,60500,003,05
51,60680,001,02
51,60840,155,09
51,60888,099,01
51,60920,001,02
51,60984,141,09
51,61208,071,09
51,61336,071,09
51,61464,067,05
51,61560,105,09
51,61832,730,04
51,61896,037,05
51,62264,059,08
51,62738,003,05
51,63190,121,09
51,63288,185,09
51,63768,735,02
51,63928,033,01
51,64000,740,03
51,64152,153,11
51,64272,195,09
51,64512,121,09
51,64560,149,04
51,64880,155,09
51,64976,001,02
51,65008,107,10
51,65120,153,01
51,65128,153,01
51,65128,153,11
51,65128,179,01
51,65280,001,02
51,65392,750,09
51,65744,167,09
51,65744,185,09
51,65776,059,11
51,66512,061,01
51,66512,061,05
51,66672,059,10
51,66672,059,11
51,66896,071,09
51,66928,185,09
51,67000,760,04
51,67208,089,05
51,67208,089,09
51,67256,121,09
51,67331,003,05
51,67352,083,05
51,67704,195,09
51,68000,770,06
51,68470,041,07
51,68496,067,05
51,68880,059,08
51,68885,105,09
51,69168,107,10
51,69360,079,05
51,69456,197,09
51,69472,093,03
51,69536,031,05
51,69792,105,09
51,69936,167,09
51,69936,195,09
51,70000,775,09
51,70096,173,09
51,70096,191,09
51,70112,119,01
51,70256,087,04
51,70296,089,05
51,70352,001,02
51,70520,001,02
51,70528,001,02
51,70576,001,02
51,70704,125,05
51,70715,181,04
51,70752,083,05
51,70800,003,05
51,70800,065,05
51,71040,175,04
51,71072,005,09
51,71216,059,08
51,71264,173,09
51,71625,069,10
51,71632,121,09
51,71776,139,06
51,71810,043,10
51,71810,187,06
51,71825,043,10
51,71826,187,06
51,71904,015,06
51,72080,125,05
51,72272,087,07
51,72935,187,06
51,73200,093,03
51,73376,155,09
51,73712,083,05
51,73760,179,01
51,73894,175,04
51,73904,117,05
51,74100,107,10
51,74120,059,10
51,74160,001,02
51,74384,157,05
51,74470,177,07
51,74592,059,08
51,74592,059,11
51,74848,185,09
51,74916,179,01
51,75008,079,05
51,75024,139,06
51,75040,089,09
51,75216,790,06
51,75344,069,10
51,75376,107,10
51,75702,107,10
51,75840,183,04
51,76000,171,06
51,76256,141,09
51,76272,015,06
51,76416,153,01
51,76432,800,03
51,76432,800,04
51,76448,173,09
51,76464,107,10
51,76880,181,04
51,76912,183,04
51,77520,001,02
51,77568,057,01
