LOUISIANA CONGRESSIONAL DISTRICTS BY PLACE
State,Place,Parish,CongressionalDistrict
22,56295,037,05
22,56540,003,04
22,56820,123,05
22,56855,033,06
22,57205,067,05
22,57450,003,04
22,57590,017,04
22,57705,033,06
22,57905,059,05
22,58045,097,04
22,58045,097,05
22,58150,011,04
22,58360,055,03
22,58745,007,02
22,58780,097,05
22,58920,089,02
22,59165,099,03
22,59340,101,03
22,59375,093,02
22,59445,103,01
22,60075,007,06
22,60495,039,04
22,60530,079,05
22,60565,123,05
22,60600,115,04
22,60670,015,04
22,60880,047,02
22,60880,047,06
22,60985,009,05
22,61055,085,04
22,61160,095,02
22,61440,075,01
22,61473,069,04
22,61580,043,05
22,61615,105,01
22,61790,121,02
22,61790,121,06
22,61825,097,05
22,62070,075,01
22,62105,063,06
22,62245,069,04
22,62280,087,01
22,62385,005,06
22,62510,109,01
22,62647,019,03
22,62733,043,05
22,62770,069,04
22,63120,049,05
22,63155,057,01
22,63155,057,06
22,63645,001,03
22,63680,083,05
22,63855,015,04
22,63890,039,04
22,64100,003,04
22,64310,095,02
22,64590,065,05
22,64660,073,05
22,64765,029,05
22,64905,013,04
22,65150,051,01
22,65150,051,02
22,65290,053,03
22,65325,069,04
22,65535,043,05
22,65710,017,04
22,65850,093,02
22,66060,047,06
22,66165,105,05
22,66200,115,04
22,66655,061,05
22,67215,125,05
22,67250,047,02
22,67355,093,02
22,67495,107,05
22,67600,099,03
22,67635,127,05
22,67740,089,02
22,67740,089,06
22,67880,013,04
22,68125,119,04
22,68300,109,06
22,68475,055,03
22,69225,033,06
22,69455,119,04
22,70000,015,04
22,70000,017,04
22,70175,119,04
22,70245,025,05
22,70385,127,05
22,70525,009,05
22,70595,115,04
22,70630,061,05
22,70665,011,04
22,70675,101,03
22,70770,037,06
22,70805,103,01
22,71190,101,03
22,71225,005,06
22,71820,031,04
22,72092,093,02
22,72170,111,04
22,72310,029,05
22,72415,063,06
22,72485,119,04
22,72800,031,04
22,72975,019,03
22,73010,083,05
22,73255,073,05
22,73395,031,04
22,73570,011,04
22,73640,019,03
22,73955,103,01
22,74060,097,04
22,74235,007,06
22,74340,073,05
22,74550,089,02
22,74690,065,05
22,74760,105,05
22,75180,051,02
22,75425,057,06
22,75670,105,05
22,75740,051,02
22,76440,075,01
22,76615,059,05
22,76615,127,05
22,76685,039,04
22,77035,093,02
22,77490,059,05
22,77910,117,05
22,78015,075,01
22,78050,077,06
22,78470,029,05
22,78540,061,05
22,78545,069,04
22,78680,033,06
22,78715,039,04
22,78820,019,03
22,78855,087,01
22,78890,017,04
22,79100,051,02
22,79240,063,06
22,79275,095,02
22,79310,025,05
22,79870,097,04
22,79940,107,05
22,80010,063,06
22,80360,093,02
22,80430,053,03
22,80815,019,03
22,80920,033,06
22,80955,073,05
22,81165,051,02
22,81375,047,02
22,81375,047,06
22,82215,037,05
22,82460,127,05
22,82495,041,05
22,82565,041,05
22,83002,051,02
22,83125,079,05
22,83335,055,03
22,83405,033,06
22,83685,085,04
