MARYLAND CONGRESSIONAL DISTRICTS BY PLACE
State,Place,County/IndependentCity,CongressionalDistrict
24,47450,005,02
24,47450,005,07
24,47525,023,06
24,47875,001,06
24,48025,009,05
24,48775,001,06
24,48800,009,05
24,48875,005,02
24,49325,001,06
24,49700,019,01
24,49950,013,01
24,50375,043,06
24,50525,045,01
24,50680,033,05
24,50685,033,04
24,50685,033,05
24,50750,033,04
24,50775,033,05
24,50965,031,08
24,51025,011,01
24,51075,003,02
24,51075,003,03
24,51075,003,04
24,51425,043,06
24,51575,003,05
24,51587,005,02
24,51587,005,03
24,51587,005,07
24,51800,037,05
24,51860,033,05
24,51945,043,06
24,52225,043,06
24,52300,005,02
24,52425,021,08
24,52475,001,06
24,52525,001,06
24,52562,005,02
24,52562,005,07
24,52825,029,01
24,52825,035,01
24,52975,033,04
24,53100,021,08
24,53325,031,06
24,53625,033,04
24,53700,001,06
24,53750,043,06
24,53800,023,06
24,53875,013,08
24,53875,021,08
24,53925,043,06
24,54125,043,06
24,54275,033,04
24,54325,001,06
24,54375,039,01
24,54875,021,08
24,54925,045,01
24,54930,045,01
24,55000,001,06
24,55018,033,04
24,55050,003,03
24,55325,047,01
24,55400,033,04
24,55400,033,05
24,55650,021,08
24,55925,013,08
24,55950,001,06
24,56300,009,05
24,56337,031,08
24,56375,033,04
24,56400,031,08
24,56450,015,01
24,56712,031,08
24,56725,027,02
24,56875,031,06
24,56875,031,08
24,57650,023,06
24,58215,001,06
24,58225,047,01
24,58275,047,01
24,58300,003,02
24,58300,003,03
24,58300,003,04
24,58775,001,06
24,58900,031,03
24,58900,031,08
24,59325,005,02
24,59325,005,03
24,59375,009,05
24,59425,005,02
24,59425,005,03
24,59450,041,01
24,59500,033,04
24,59787,043,06
24,60275,005,02
24,60275,005,03
24,60325,003,03
24,60325,003,04
24,60425,045,01
24,60475,003,03
24,60475,003,04
24,60770,043,06
24,60950,033,04
24,60975,005,01
24,60975,005,02
24,60975,005,03
24,61075,025,02
24,61150,015,01
24,61400,005,02
24,61400,005,03
24,61700,043,06
24,61875,037,05
24,62025,045,01
24,62100,001,06
24,62175,025,01
24,62475,047,01
24,62575,021,06
24,62675,017,05
24,62775,043,06
24,62850,031,06
24,63075,015,01
24,63225,017,05
24,63300,031,06
24,63300,031,08
24,63375,017,05
24,63425,001,06
24,63725,045,01
24,63825,011,01
24,63950,009,05
24,64000,039,01
24,64375,025,01
24,64475,045,01
24,64495,033,05
24,64500,035,01
24,64500,041,01
24,64535,033,05
24,64600,035,01
24,64950,005,02
24,64950,005,03
24,64950,005,07
24,65150,001,06
24,65312,031,06
24,65312,031,08
24,65550,043,06
24,65600,005,02
24,65600,005,07
24,66000,011,01
24,66150,043,06
24,66275,015,01
24,66400,003,04
24,66635,033,04
24,66635,033,05
24,66762,025,02
24,66850,003,03
24,66850,003,04
24,67000,043,06
24,67400,029,01
24,67500,017,05
24,67675,031,06
24,67675,031,08
24,67950,043,06
24,68300,033,05
24,68400,005,02
24,68400,005,03
24,68600,021,06
24,68700,005,02
24,68700,005,03
24,69200,021,08
24,69425,037,05
24,69550,043,06
24,69675,009,05
24,69825,041,01
24,69925,045,01
24,70175,043,06
24,70300,043,06
24,70475,027,02
24,70530,027,02
24,70530,027,03
24,70775,033,04
24,70775,033,05
24,70850,033,04
24,70900,019,01
24,71150,003,02
24,71150,003,03
24,71150,003,04
24,71200,003,04
24,71450,003,05
24,71460,001,06
24,71600,043,06
24,71650,045,01
24,72350,033,04
24,72450,031,03
24,72450,031,08
24,72887,039,01
24,72900,043,06
24,73075,047,01
24,73325,009,05
24,73350,031,08
24,73600,031,08
24,73650,033,04
24,73650,033,05
24,74050,031,03
24,74282,033,04
24,74350,001,06
24,74560,021,08
24,75025,035,01
24,75200,047,01
24,75650,035,01
24,75725,033,04
24,75810,033,04
24,76450,023,06
24,76550,013,08
24,76650,031,08
24,76675,037,05
24,76725,013,01
24,76925,019,01
24,77100,033,04
24,77200,011,01
24,77200,035,01
24,77825,021,08
24,77912,041,01
24,77925,043,06
24,78050,005,02
